r,radwave
1.399,-0.010933
1.402,-0.010904
1.405,-0.010875
1.408,-0.010846
1.411,-0.010818
1.414,-0.010789
1.417,-0.01076
1.42,-0.010731
1.423,-0.010702
1.426,-0.010674
1.429,-0.010645
1.432,-0.010616
1.435,-0.010587
1.438,-0.010558
1.441,-0.01053
1.444,-0.010501
1.447,-0.010472
1.45,-0.010444
1.453,-0.010415
1.456,-0.010386
1.459,-0.010358
1.462,-0.010329
1.465,-0.0103
1.468,-0.010272
1.471,-0.010243
1.474,-0.010215
1.477,-0.010186
1.48,-0.010158
1.483,-0.010129
1.486,-0.010101
1.489,-0.010072
1.492,-0.010044
1.495,-0.010015
1.498,-0.009987
1.501,-0.009959
1.504,-0.00993
1.507,-0.009902
1.51,-0.009874
1.513,-0.009846
1.516,-0.009817
1.519,-0.009789
1.522,-0.009761
1.525,-0.009733
1.528,-0.009705
1.531,-0.009677
1.534,-0.009649
1.537,-0.009621
1.54,-0.009593
1.543,-0.009565
1.546,-0.009538
1.549,-0.00951
1.552,-0.009482
1.555,-0.009454
1.558,-0.009427
1.561,-0.009399
1.564,-0.009372
1.567,-0.009344
1.57,-0.009316
1.573,-0.009289
1.576,-0.009262
1.579,-0.009234
1.582,-0.009207
1.585,-0.00918
1.588,-0.009152
1.591,-0.009125
1.594,-0.009098
1.597,-0.009071
1.6,-0.009044
1.603,-0.009017
1.606,-0.00899
1.609,-0.008963
1.612,-0.008936
1.615,-0.008909
1.618,-0.008883
1.621,-0.008856
1.624,-0.008829
1.627,-0.008803
1.63,-0.008776
1.633,-0.008749
1.636,-0.008723
1.639,-0.008697
1.642,-0.00867
1.645,-0.008644
1.648,-0.008618
1.651,-0.008591
1.654,-0.008565
1.657,-0.008539
1.66,-0.008513
1.663,-0.008487
1.666,-0.008461
1.669,-0.008435
1.672,-0.008409
1.675,-0.008384
1.678,-0.008358
1.681,-0.008332
1.684,-0.008306
1.687,-0.008281
1.69,-0.008255
1.693,-0.00823
1.696,-0.008205
1.699,-0.008179
1.702,-0.008154
1.705,-0.008129
1.708,-0.008103
1.711,-0.008078
1.714,-0.008053
1.717,-0.008028
1.72,-0.008003
1.723,-0.007978
1.726,-0.007953
1.729,-0.007929
1.732,-0.007904
1.735,-0.007879
1.738,-0.007855
1.741,-0.00783
1.744,-0.007806
1.747,-0.007781
1.75,-0.007757
1.753,-0.007732
