Energy,r,wavef,radwave
-0.579689,0.727,-0.008527,-0.011729
-0.579689,0.73,-0.008614,-0.0118
-0.579689,0.733,-0.0087,-0.011869
-0.579689,0.736,-0.008785,-0.011937
-0.579689,0.739,-0.00887,-0.012003
-0.579689,0.742,-0.008955,-0.012068
-0.579689,0.745,-0.009038,-0.012132
-0.579689,0.748,-0.009121,-0.012194
-0.579689,0.751,-0.009203,-0.012255
-0.579689,0.754,-0.009285,-0.012315
-0.579689,0.757,-0.009366,-0.012373
-0.579689,0.76,-0.009447,-0.01243
-0.579689,0.763,-0.009527,-0.012486
-0.579689,0.766,-0.009606,-0.01254
-0.579689,0.769,-0.009685,-0.012594
-0.579689,0.772,-0.009763,-0.012646
-0.579689,0.775,-0.00984,-0.012697
-0.579689,0.778,-0.009917,-0.012746
-0.579689,0.781,-0.009993,-0.012795
-0.579689,0.784,-0.010068,-0.012842
-0.579689,0.787,-0.010143,-0.012888
-0.579689,0.79,-0.010217,-0.012933
-0.579689,0.793,-0.010291,-0.012977
-0.579689,0.796,-0.010364,-0.01302
-0.579689,0.799,-0.010436,-0.013062
-0.579689,0.802,-0.010508,-0.013102
-0.579689,0.805,-0.010579,-0.013142
-0.579689,0.808,-0.01065,-0.01318
-0.579689,0.811,-0.01072,-0.013218
-0.579689,0.814,-0.010789,-0.013254
-0.579689,0.817,-0.010858,-0.01329
-0.579689,0.82,-0.010926,-0.013324
-0.579689,0.823,-0.010993,-0.013357
-0.579689,0.826,-0.01106,-0.01339
-0.579689,0.829,-0.011126,-0.013421
-0.579689,0.832,-0.011192,-0.013452
-0.579689,0.835,-0.011257,-0.013481
-0.579689,0.838,-0.011321,-0.01351
-0.579689,0.841,-0.011385,-0.013537
-0.579689,0.844,-0.011448,-0.013564
-0.579689,0.847,-0.011511,-0.01359
-0.579689,0.85,-0.011573,-0.013615
-0.579689,0.853,-0.011634,-0.013639
-0.579689,0.856,-0.011695,-0.013662
-0.579689,0.859,-0.011755,-0.013685
-0.579689,0.862,-0.011815,-0.013706
-0.579689,0.865,-0.011874,-0.013727
-0.579689,0.868,-0.011932,-0.013747
